id,firstName,lastName,age,weight,gender,smoker
150,Aaron,Moses,86,217.7,M,FALSE
151,Mark,Cherry,95,149.6,M,TRUE
152,John,Anthony,33,133.6,M,FALSE
153,John,Frost,72,192.5,M,FALSE
154,Ryan,Kirk,52,94.6,M,FALSE
155,Ethan,Harris,88,218.6,F,FALSE
156,Keith,Vaughan,91,131.9,M,FALSE
157,Gerald,Arias,105,112.4,F,FALSE
158,Timothy,Sampson,96,181.7,F,FALSE
159,Anthony,Villegas,50,143,M,FALSE
160,Jesse,Dodson,72,127.7,M,FALSE
161,Christian,Lynch,87,195.8,M,TRUE
162,Richard,Watson,6,243.7,M,FALSE
163,Richard,Spencer,65,275.7,M,FALSE
164,Jesse,Donaldson,19,159.8,F,FALSE
165,Daniel,Norman,39,115.7,M,FALSE
166,Roy,Warner,70,93.5,M,FALSE
167,Frank,Leonard,62,268.6,M,FALSE
168,Terry,Santos,49,250.3,M,FALSE
169,Benjamin,Bernal,92,88.7,M,FALSE
170,Russell,Palmer,70,246.7,M,FALSE
171,Jack,Macdonald,48,229.6,F,TRUE
172,Dylan,Ayala,17,162.2,F,TRUE
173,Henry,Brewer,82,157.4,F,FALSE
174,Roy,Wade,104,191.8,M,FALSE
175,Bobby,Morrow,9,116.3,F,FALSE
176,Gerald,Schmitt,27,113.4,F,FALSE
177,Austin,Patterson,88,130.1,M,FALSE
178,Joseph,Mcclain,30,219.3,F,FALSE
179,Bruce,Dunlap,7,191.4,F,FALSE
180,Dennis,Daniel,24,110.1,M,TRUE
181,Walter,Bates,107,143.9,M,FALSE
182,Ralph,Holloway,39,255,F,FALSE
183,Joseph,Gallegos,103,249.2,F,TRUE
184,Frank,Page,49,83.6,F,FALSE
185,Tyler,Gaines,99,185.1,F,FALSE
186,Frank,Dickerson,87,90.1,M,TRUE
187,James,Lester,74,161,M,FALSE
188,Timothy,Conley,109,237.5,M,TRUE
189,Donald,Mendoza,52,276.3,F,FALSE
190,Wayne,Richmond,64,116.5,M,FALSE
191,Ralph,Hardy,62,189.3,M,FALSE
192,Brandon,Blackburn,88,141,M,FALSE
193,Mason,Gould,13,126.1,F,FALSE
194,Gerald,Cohen,95,156.2,F,FALSE
195,Walter,Christensen,110,277.1,M,TRUE
196,Wayne,Sims,110,167.2,F,FALSE
197,Randy,Warren,96,262.7,F,FALSE
198,Gerald,Villa,54,122.5,F,FALSE
199,Noah,Gordon,36,133.1,M,FALSE
200,Bruce,Richards,5,95.9,F,FALSE
201,Paul,Simpson,13,232.6,M,FALSE
202,Bobby,Bell,96,212.9,M,FALSE
203,Jason,Kelly,25,91,F,TRUE
204,Benjamin,Wise,34,264.7,M,FALSE
205,Walter,Mccoy,25,220.5,F,FALSE
206,Russell,Le,55,235.5,F,FALSE
207,Bruce,Conrad,83,103.2,F,FALSE
208,Edward,O’donnell,35,248.8,F,TRUE
209,Eugene,Gallegos,86,198.5,M,FALSE
210,Anthony,Butler,99,150.8,M,FALSE
211,Ryan,Newton,39,202.8,F,FALSE
212,Randy,Lang,106,160.6,M,FALSE
213,Zachary,Lam,67,198.8,M,FALSE
214,Joshua,Callahan,55,221.1,M,FALSE
215,John,Chase,35,144.4,F,TRUE
216,Paul,Spears,34,275,F,FALSE
217,Jerry,Flynn,33,143,F,FALSE
218,Jack,Portillo,43,172.5,M,FALSE
219,Willie,Wheeler,3,275.9,M,FALSE
220,Brandon,Foley,4,227.2,M,FALSE
221,Bobby,Jones,1,169,M,FALSE
222,Alan,Paul,103,98.6,F,FALSE
223,Aaron,Mosley,22,201.1,F,FALSE
224,Keith,Stein,60,255.1,F,FALSE
225,Philip,Macdonald,53,186.8,M,FALSE
226,Nathan,Newman,33,221.5,M,FALSE
227,Kyle,Blankenship,80,267.5,M,TRUE
228,Alan,Hull,109,129.8,F,TRUE
229,Randy,Faulkner,95,92.3,M,FALSE
230,Stephen,Burnett,66,113.1,F,FALSE
231,Brandon,Parra,63,219.3,M,TRUE
232,Frank,Strickland,77,200.7,F,FALSE
233,Randy,Kirk,9,125.5,M,FALSE
234,Noah,Cameron,61,263.9,M,FALSE
235,Jeffrey,Montoya,47,169.3,F,FALSE
236,Joseph,Avery,37,211.4,F,FALSE
237,Adam,Jones,10,146.3,M,FALSE
238,Brian,Hutchinson,67,246.5,F,FALSE
239,Jose,Glass,13,232,M,FALSE
240,Juan,Santos,48,126.1,M,FALSE
241,Jordan,Little,25,226.8,M,FALSE
242,Jeffrey,Barr,108,260.6,F,TRUE
243,Albert,Mason,57,240.3,F,FALSE
244,Peter,Park,53,187.8,F,TRUE
245,Anthony,Aguilar,85,188.4,F,FALSE
246,Charles,Shaw,84,131.3,M,FALSE
247,Carl,Chapman,84,214.3,M,FALSE
248,Sean,Matthews,30,113.7,F,FALSE
249,Andrew,O’connell,80,238,M,FALSE
250,David,Landry,36,89.1,F,FALSE
251,Jason,Santana,85,211.8,M,FALSE
252,Mason,Combs,87,126.1,F,FALSE
253,Kevin,Mays,27,99.3,M,FALSE
254,Philip,Ellison,34,234,M,FALSE
255,Harold,Dalton,110,240.8,M,FALSE
256,Willie,Nichols,33,208.3,M,FALSE
257,Joshua,Dean,51,130.7,M,TRUE
258,Richard,Shaffer,65,230.4,F,FALSE
259,Ryan,Rivas,110,237.5,F,FALSE
260,George,Wiggins,95,116.9,M,FALSE
261,Dennis,French,51,225.8,F,TRUE
262,John,Quintana,41,113.4,F,FALSE
263,Alexander,Salazar,23,254.2,F,TRUE
264,Peter,Ingram,51,96,M,FALSE
265,Joshua,Figueroa,55,185.2,M,FALSE
266,Joshua,Alvarado,71,247.1,F,TRUE
267,Juan,Mercado,54,157.5,F,TRUE
268,Donald,Rocha,42,155.6,M,FALSE
269,Edward,Wood,72,129.4,M,FALSE
270,Jose,Lozano,62,147.4,M,FALSE
271,Christopher,Heath,10,105.6,M,FALSE
272,Joshua,Jarvis,59,91,F,FALSE
273,Walter,Rubio,35,278.9,M,TRUE
274,Thomas,Kent,21,236.2,F,FALSE
275,Roger,Hester,20,250.5,F,FALSE
276,Dylan,Nguyen,36,126.1,M,FALSE
277,Austin,House,50,104.7,F,TRUE
278,Justin,Jennings,52,221.3,M,FALSE
279,Juan,Levy,20,158,M,FALSE
280,Justin,Compton,85,219,M,FALSE
281,Frank,Zamora,91,273.1,M,FALSE
282,Jeffrey,Harrison,82,161.1,M,FALSE
283,Gregory,Estes,46,104.1,M,FALSE
284,Steven,Simmons,75,98.3,M,FALSE
285,Carl,Salas,11,160.9,F,FALSE
286,Jose,Page,14,132.3,F,FALSE
287,Eugene,Lang,79,140.4,M,FALSE
288,Gary,Bryant,73,94.1,F,FALSE
289,Juan,Richmond,5,168.8,F,FALSE
290,Harold,Blackburn,35,277.6,F,FALSE
291,Timothy,Mclean,4,90.3,F,FALSE
292,Dylan,Meza,34,186.8,F,FALSE
293,Jesse,Sosa,32,197.8,M,TRUE
294,Roy,Reese,13,259.3,F,TRUE
295,Benjamin,Roberson,35,127.6,F,FALSE
296,Jonathan,Bauer,77,149.2,M,FALSE
297,Terry,Noble,46,131.7,F,FALSE
298,Joe,Bryant,21,148.8,M,TRUE
299,Jeffrey,Lam,102,171.7,F,FALSE
300,Randy,Brennan,6,274.1,F,FALSE
301,Christian,Tapia,36,94,F,FALSE
302,Stephen,Fischer,4,109,M,FALSE
303,Juan,Saunders,94,167.4,M,FALSE
304,Eugene,Benitez,17,235.7,F,TRUE
305,Paul,White,25,102.5,M,FALSE
306,Billy,Gomez,19,162.4,F,FALSE
307,Bradley,Fowler,66,168,F,FALSE
308,Mason,Shelton,37,135.9,F,FALSE
309,Vincent,Gallegos,79,131.8,F,TRUE
310,Matthew,Acosta,99,111.4,F,FALSE
311,Walter,Payne,37,85.6,M,FALSE
312,Robert,Mcpherson,53,107.2,M,FALSE
313,Joe,Schmitt,54,148.9,F,TRUE
314,Roger,Hill,52,136.6,M,FALSE
315,Larry,Patel,102,192.9,F,FALSE
316,Michael,Berger,52,197.6,F,TRUE
317,Brian,Ponce,62,110.7,F,TRUE
318,Donald,Velasquez,25,250,M,FALSE
319,Adam,Lester,104,175.4,F,FALSE
320,Thomas,Watson,34,166,M,FALSE
321,Willie,Hines,77,266.9,F,FALSE
322,Brian,Wade,36,227.2,M,FALSE
323,Dennis,Johnson,84,214.7,F,FALSE
324,Austin,Whitney,34,251.1,M,FALSE
325,Stephen,Townsend,52,131.8,M,FALSE
326,Vincent,English,83,213.4,F,TRUE
327,Jeffrey,Atkins,84,194.1,M,FALSE
328,David,Durham,52,205.9,M,FALSE
329,Peter,Horton,49,118.9,F,FALSE
330,Douglas,Gilmore,7,262.4,F,FALSE
331,Brian,Krueger,110,187.2,F,FALSE
332,Mason,Castro,18,117,F,FALSE
333,Sean,Hickman,5,230.3,M,FALSE
334,Jeremy,Gibbs,56,131.7,M,FALSE
335,Keith,Benton,4,195.7,M,FALSE
336,David,Cobb,21,120.4,F,TRUE
337,Mark,Bowman,15,185.1,M,FALSE
338,Adam,Henderson,84,213.6,M,FALSE
339,Joshua,Mcintosh,7,85.7,M,FALSE
340,George,Hardy,34,164.8,M,FALSE
341,Matthew,Reilly,53,168.9,M,TRUE
342,Scott,Meza,97,133.3,F,TRUE
343,James,Kirk,103,96.2,M,FALSE
344,Austin,Bradford,20,220.9,M,FALSE
345,Alan,Patel,38,278.1,F,FALSE
346,Juan,Stephenson,99,275.9,M,FALSE
347,Eugene,Clayton,57,207.3,M,FALSE
348,Gary,Bailey,17,221.6,F,FALSE
349,Logan,Singh,67,227.4,M,FALSE
350,Alan,Mcgee,101,120.9,M,FALSE
351,Samuel,Arellano,7,273.6,M,FALSE
352,Donald,Conley,36,125.5,F,TRUE
353,Peter,Barajas,58,218.1,M,TRUE
354,Paul,Shannon,46,271.5,M,FALSE
355,David,Coffey,107,158.4,F,FALSE
356,Henry,Collier,12,214.1,F,FALSE
357,Donald,Schmidt,27,223.2,F,FALSE
358,Sean,Frank,58,137.5,F,FALSE
359,Russell,Douglas,70,95.9,M,FALSE
360,Sean,Cochran,104,266.6,M,FALSE
361,Jesse,Kim,65,85.8,M,FALSE
362,Jose,Hail,2,142.9,M,FALSE
363,William,Herman,49,188.2,F,FALSE
364,Donald,Rosas,8,194.6,M,FALSE
365,Jack,Christian,52,160.6,F,FALSE
366,Paul,Chase,94,120.4,M,FALSE
367,Tyler,Calderon,37,104.2,M,FALSE
368,Gerald,Chang,29,263.3,M,FALSE
369,Bruce,Swanson,62,158.1,F,FALSE
370,Raymond,Clarke,40,241.7,M,FALSE
371,Zachary,Golden,12,174.3,M,TRUE
372,Donald,Tang,34,128.1,M,FALSE
373,Kenneth,Dunn,72,247.6,M,FALSE
374,Christian,Carrillo,101,179.5,M,FALSE
375,Ronald,Moore,104,164.6,M,TRUE
376,Jordan,Vazquez,6,123.7,M,FALSE
377,Eric,Walls,89,231.3,M,FALSE
378,Bobby,Briggs,53,107.1,M,FALSE
379,Samuel,Jackson,86,179.5,F,FALSE
380,Christian,Terrell,39,182.7,F,TRUE
381,Raymond,Horton,83,182.7,M,TRUE
382,Terry,Cardenas,58,96,F,FALSE
383,Gregory,Cummings,35,238.6,M,TRUE
384,Steven,Valentine,15,162.2,M,FALSE
385,David,Mcmillan,97,91.1,F,TRUE
386,Larry,Bell,87,230,M,FALSE
387,Jordan,Beasley,22,257.3,F,TRUE
388,Ryan,Mays,2,84.7,M,FALSE
389,Frank,Leonard,87,267.8,F,FALSE
390,Douglas,Whitaker,59,264.1,F,FALSE
391,Eugene,Wolfe,34,129.4,M,FALSE
392,Andrew,Dunn,8,84.6,F,TRUE
393,Bruce,Norton,102,124.1,M,FALSE
394,Alexander,Vargas,29,232.5,F,FALSE
395,James,Reynolds,78,189.6,F,FALSE
396,Billy,Trejo,18,202.8,M,FALSE
397,Douglas,Benton,50,197.1,M,FALSE
398,Jose,Ramsey,79,199.1,F,FALSE
399,Douglas,Cantu,31,148,F,FALSE
400,Matthew,Ventura,62,166.8,F,FALSE
401,Juan,Welch,9,90,F,FALSE
402,Logan,Jensen,96,251.6,M,FALSE
403,Richard,Abbott,13,255,M,FALSE
404,Paul,Wallace,20,253.5,M,FALSE
405,Justin,Garner,29,139.6,F,FALSE
406,Timothy,Dixon,65,167.2,M,FALSE
407,Vincent,O’donnell,51,274,M,FALSE
408,Adam,Preston,64,102.5,F,FALSE
409,William,Combs,63,137.3,F,TRUE
410,Raymond,Camacho,92,87.3,F,FALSE
411,Jack,Hodges,82,114,M,FALSE
412,Joseph,Cummings,3,80.6,M,FALSE
413,Jerry,Lane,53,226.8,F,FALSE
414,Douglas,Ponce,60,248.5,M,FALSE
415,Joseph,Monroe,78,112.8,F,TRUE
416,Sean,Sanders,63,216.6,F,FALSE
417,Tyler,Hobbs,87,162.8,M,FALSE
418,Bradley,Swanson,55,217.3,M,FALSE
419,Bryan,Adams,95,169.4,M,TRUE
420,Christian,Taylor,26,99.2,F,FALSE
421,Randy,Cuevas,97,233.9,M,FALSE
422,Keith,Hurst,67,197.4,M,TRUE
423,Christian,Blake,13,209.7,M,FALSE
424,Joe,Rush,29,128,F,FALSE
425,Lawrence,Payne,105,229.3,M,FALSE
426,Dennis,Barron,99,203.1,F,TRUE
427,Benjamin,Pace,15,179.9,M,FALSE
428,Juan,Ward,97,171.4,F,FALSE
429,Ethan,Lynn,9,146.5,M,FALSE
430,Kevin,Montgomery,23,88.7,M,FALSE
431,Logan,Harper,97,208.1,F,FALSE
432,Christian,Richardson,59,193.7,F,FALSE
433,Juan,Scott,11,129.1,F,FALSE
434,Jerry,Sutton,7,164.1,M,FALSE
435,Thomas,Strong,109,270.8,F,TRUE
436,Jonathan,Zavala,17,273.8,F,TRUE
437,Jack,Hobbs,30,226.8,M,FALSE
438,Philip,Riley,82,263.7,F,FALSE
439,Dennis,Jacobson,107,187,F,FALSE
440,Justin,Espinosa,45,229.8,F,TRUE
441,Douglas,Wade,9,123.7,M,FALSE
442,Steven,Douglas,109,187.7,F,FALSE
443,Timothy,Guevara,92,205.9,M,TRUE
444,Nathan,Noble,78,194.7,F,FALSE
445,Albert,Roy,26,94.6,F,FALSE
446,Dylan,Goodman,4,166.4,M,FALSE
447,Gregory,Frank,58,240.1,M,FALSE
448,Jordan,Brandt,24,269.2,M,FALSE
449,Jerry,Schmidt,60,203.9,M,FALSE
450,Joe,Hurley,24,172.7,M,FALSE
451,Randy,Kemp,83,197.6,F,FALSE
452,Randy,Foster,18,222.5,F,FALSE
453,James,Gilmore,109,173.9,F,FALSE
454,Jonathan,Arroyo,24,191.4,F,TRUE
455,Roy,Glass,46,113.7,F,FALSE
456,Edward,Castillo,16,253,M,FALSE
457,Paul,Randolph,94,217.8,F,FALSE
458,Frank,Bush,4,92.1,F,FALSE
459,Alan,Rivers,104,224.9,F,FALSE
460,Juan,Mcintosh,20,205.9,M,FALSE
461,Frank,Glass,40,166.2,M,FALSE
462,Jack,Hurst,30,261.8,F,FALSE
463,Henry,Gross,96,161.1,F,FALSE
464,Douglas,French,77,235.8,F,FALSE
465,Christopher,Rios,73,244.1,F,TRUE
466,Gerald,Moore,92,199.6,F,FALSE
467,Jeremy,Shepherd,23,207.9,F,FALSE
468,Ralph,Clayton,68,147.3,F,FALSE
469,Adam,Blackburn,28,100.9,M,FALSE
470,Alan,French,16,140.5,F,FALSE
471,Peter,Howe,104,92.6,F,FALSE
472,Justin,Hunter,21,263.3,F,FALSE
473,Stephen,Morton,97,246.9,M,FALSE
474,Logan,Howe,96,265.2,M,FALSE
475,Wayne,Ayers,6,175.6,F,TRUE
476,Patrick,Hurst,84,253.5,M,TRUE
477,Jason,Clay,104,129.3,F,FALSE
478,Steven,Ford,18,172,M,FALSE
479,Robert,Pearson,77,130.1,F,FALSE
480,Walter,Bradford,64,226.9,M,FALSE
481,David,O’donnell,58,263.8,F,FALSE
482,Samuel,Young,7,175.8,M,FALSE
483,Jack,French,96,135.5,M,FALSE
484,Charles,Douglas,31,108,M,FALSE
485,Nicholas,Phan,78,84.3,F,FALSE
486,Thomas,Fuller,62,213.4,F,FALSE
487,Henry,Parks,61,204.7,F,TRUE
488,Harold,Huerta,63,209.4,M,FALSE
489,Gabriel,Mccullough,31,125.8,M,FALSE
490,Scott,Carson,26,126.7,M,FALSE
491,Steven,Schwartz,80,208,F,FALSE
492,Gerald,Pope,46,203.7,F,FALSE
493,Ethan,Henderson,31,135.3,M,FALSE
494,Terry,Peterson,44,130.7,F,FALSE
495,Jack,Atkinson,58,104,M,FALSE
496,Gerald,Salazar,18,109.8,F,FALSE
497,Peter,Johnson,57,251.8,M,FALSE
498,Ronald,Barry,90,159.7,F,FALSE
499,Jason,Hebert,40,116.9,M,FALSE
500,Patrick,Phillips,79,182.8,M,FALSE
501,Michael,Skinner,24,104.3,M,FALSE
502,Ryan,Mercado,43,194.3,M,FALSE
503,Jeremy,Raymond,60,115.9,M,FALSE
504,Willie,Parra,99,175.9,F,FALSE
505,Samuel,Case,15,88.3,F,FALSE
506,Jack,Gallagher,36,173.1,F,FALSE
507,Eugene,Maynard,50,236.3,F,FALSE
508,Brandon,Ponce,65,140.4,F,FALSE
509,Alexander,Underwood,1,87.1,F,FALSE
510,Joshua,Mata,31,213.5,F,TRUE
511,Ethan,Chambers,80,130.7,M,FALSE
512,Jeffrey,O’connor,67,240.7,F,FALSE
513,Philip,Willis,94,96.2,M,FALSE
514,Logan,Dorsey,95,213.5,F,TRUE
515,Wayne,Murphy,39,83.3,M,TRUE
516,Ryan,Barajas,26,151.1,F,TRUE
517,Robert,Barnett,46,265.7,M,FALSE
518,Roger,Savage,31,96.4,M,FALSE
519,Billy,Prince,55,137.3,M,FALSE
520,Brandon,Richardson,97,159.9,M,FALSE
521,Jose,Woodward,72,252.5,M,TRUE
522,Timothy,Perry,80,174.1,F,FALSE
523,Russell,Noble,57,195.9,F,TRUE
524,Philip,Simmons,7,176.7,F,FALSE
525,Jeremy,Pope,58,227.2,F,FALSE
526,Scott,Gallegos,109,124.4,M,FALSE
527,Patrick,Fleming,28,272.5,F,FALSE
528,Willie,Sanders,71,263.4,F,FALSE
529,Joshua,Cortes,42,196.7,M,FALSE
530,Bradley,Wyatt,22,218.4,F,FALSE
531,Ryan,Rosario,61,110.3,F,FALSE
532,Christopher,Guerrero,12,200.9,F,FALSE
533,Gerald,Austin,22,134.3,F,FALSE
534,George,Burton,8,87,F,FALSE
535,Patrick,Michael,38,102.4,M,FALSE
536,Nathan,Deleon,35,234.6,F,FALSE
537,Kevin,Fitzpatrick,110,134.5,M,FALSE
538,Harold,Barajas,65,263.5,F,FALSE
539,Dennis,Burns,51,190.8,F,FALSE
540,Philip,Allison,28,185.5,M,TRUE
541,Jack,Peterson,89,219.4,F,TRUE
542,Gary,Gallegos,87,204.7,F,FALSE
543,Bruce,Turner,56,256.6,M,FALSE
544,Michael,Franco,5,215.4,M,FALSE
545,Brian,Beil,55,220.8,M,FALSE
546,Mason,Kane,15,143.1,F,FALSE
547,Thomas,Wolf,65,252,F,FALSE
548,Harold,Haley,107,104.6,F,FALSE
549,Eric,Hall,100,168.8,M,FALSE
550,Matthew,Montoya,56,242.7,F,TRUE
551,Ralph,O’neill,83,178,M,FALSE
552,Walter,Turner,30,191.9,M,FALSE
553,Joshua,Coleman,6,256,M,FALSE
554,Richard,Santiago,51,206.1,F,FALSE
555,Jonathan,Sutton,87,141.6,M,FALSE
556,Anthony,Beil,64,175.9,M,FALSE
557,Steven,Freeman,91,102.4,F,FALSE
558,Bradley,Branch,29,118.4,M,FALSE
559,Patrick,Garcia,61,122.9,F,FALSE
560,Philip,Baxter,21,234.7,F,FALSE
561,Jesse,Ventura,80,164.2,M,FALSE
562,Russell,Pierce,45,206.5,F,FALSE
563,Justin,Rosas,29,173.8,M,TRUE
564,Ronald,Page,45,148.8,F,FALSE
565,Edward,Soto,31,174.5,F,FALSE
566,Christopher,Shaw,41,254.2,F,FALSE
567,Wayne,Floyd,94,210.8,M,FALSE
568,Steven,Gill,71,269.6,F,FALSE
569,Anthony,Steele,37,240,F,TRUE
570,Paul,Schmitt,52,138.7,M,FALSE
571,Gerald,Villa,94,146.8,M,TRUE
572,Nathan,Gardner,52,257.3,M,FALSE
573,Samuel,Wyatt,42,113.7,F,FALSE
574,Jerry,Chapman,11,232.3,F,FALSE
575,Larry,Trevino,56,122.7,F,FALSE
576,Brandon,Huff,7,194.2,M,FALSE
577,Dylan,Hail,70,149.8,F,FALSE
578,John,Chapman,38,259,M,TRUE
579,Henry,Mann,98,99.5,M,FALSE
580,Dylan,Rush,4,163.6,M,FALSE
